LIST OF VILLAGES WITH ONLINE TR AS on 15/7/19,,,,,,
Slno,District Name Malayalam,District Name English,Taluk Name Malayalam,Taluk Name English,Village Name Malayalam,Village Name English
83,?????????????,Thiruvananthapuram,???????????????,NEYYATTINKARA,???????,KARODE
84,?????????????,Thiruvananthapuram,???????????????,NEYYATTINKARA,???????????,KOLLAYIL
85,?????????????,Thiruvananthapuram,???????????????,NEYYATTINKARA,???????????,KOTTUKAL
86,?????????????,Thiruvananthapuram,???????????????,NEYYATTINKARA,??????????,KULATHOOR
87,?????????????,Thiruvananthapuram,???????????????,NEYYATTINKARA,??????????????,KUNNATHUKAL
88,?????????????,Thiruvananthapuram,???????????????,NEYYATTINKARA,???????????????,NEYYATTINKARA
89,?????????????,Thiruvananthapuram,???????????????,NEYYATTINKARA,???????????,PALLICHAL
90,?????????????,Thiruvananthapuram,???????????????,NEYYATTINKARA,????????,PARASSALA
91,?????????????,Thiruvananthapuram,???????????????,NEYYATTINKARA,??????????????,PARASUVAIKKAL
92,?????????????,Thiruvananthapuram,???????????????,NEYYATTINKARA,??????????,PERUMKADAVILA
93,?????????????,Thiruvananthapuram,???????????????,NEYYATTINKARA,????????????,PERUMPAZHUTHOOR
94,?????????????,Thiruvananthapuram,???????????????,NEYYATTINKARA,????????,THIRUPURAM
95,?????????????,Thiruvananthapuram,???????????????,NEYYATTINKARA,???????,VELLARADA
96,?????????????,Thiruvananthapuram,???????????????,NEYYATTINKARA,????????,VIZHINJAM
97,?????????????,Thiruvananthapuram,???????????????,NEYYATTINKARA,??????????,BALARAMAPURAM
98,?????????????,Thiruvananthapuram,???????????????,NEYYATTINKARA,???????,POOVAR
99,?????????????,Thiruvananthapuram,??????????,KATTAKADA,???????,AMBOORI
100,?????????????,Thiruvananthapuram,??????????,KATTAKADA,???????????,KALLIKKAD
101,?????????????,Thiruvananthapuram,??????????,KATTAKADA,?????????,KEEZHAROOR
102,?????????????,Thiruvananthapuram,??????????,KATTAKADA,?????????????,KULATHUMMAL
103,?????????????,Thiruvananthapuram,??????????,KATTAKADA,???????????,MALAYINKEEZH
104,?????????????,Thiruvananthapuram,??????????,KATTAKADA,????????????,MANNOORKKARA
105,?????????????,Thiruvananthapuram,??????????,KATTAKADA,???????????,MARANALLUR
106,?????????????,Thiruvananthapuram,??????????,KATTAKADA,?????????????,OTTASEKHARAMANGALAM
107,?????????????,Thiruvananthapuram,??????????,KATTAKADA,??????????,PERUMKULAM
108,?????????????,Thiruvananthapuram,??????????,KATTAKADA,??????????,VAZHICHAL
109,?????????????,Thiruvananthapuram,??????????,KATTAKADA,????????,VEERANAKAV
110,?????????????,Thiruvananthapuram,??????????,KATTAKADA,??????????,VILAPPIL
111,?????????????,Thiruvananthapuram,??????????,KATTAKADA,??????????????,VILAVOORKAL
112,?????????????,Thiruvananthapuram,????????,VARKALA,???????,AYIROOR
113,?????????????,Thiruvananthapuram,????????,VARKALA,?????????,CHEMMARUTHI
114,?????????????,Thiruvananthapuram,????????,VARKALA,????????????,CHERUNNIYUR
115,?????????????,Thiruvananthapuram,????????,VARKALA,???,EDAVA
116,?????????????,Thiruvananthapuram,????????,VARKALA,????????,KUDAVOOR
117,?????????????,Thiruvananthapuram,????????,VARKALA,???????,MADAVOOR
118,?????????????,Thiruvananthapuram,????????,VARKALA,????????,MANAMBOOR
119,?????????????,Thiruvananthapuram,????????,VARKALA,????????????,NAVAIKULAM
120,?????????????,Thiruvananthapuram,????????,VARKALA,???????,OTTUR
121,?????????????,Thiruvananthapuram,????????,VARKALA,??????????,PALLIKKAL
122,?????????????,Thiruvananthapuram,????????,VARKALA,????????,VARKALA
123,?????????????,Thiruvananthapuram,????????,VARKALA,?????????,VETTUR
124,??????,Kollam,????????????,KUNNATHUR,?????????????,SASTHAMKOTTA
125,??????,Kollam,????????????,KUNNATHUR,??????????????,WEST KALLADA
126,??????,Kollam,????????????,KUNNATHUR,????????????,MYNAGAPPALLY
127,??????,Kollam,????????????,KUNNATHUR,????????????,KUNNATHUR
128,??????,Kollam,????????????,KUNNATHUR,???????,PORUVAZHI
129,??????,Kollam,????????????,KUNNATHUR,???????? ??????????,SOORANAD NORTH
